"","X","v","a","f","h","l","n","s","w","word_tokens","word_types","tokens_in_cmu","types_in_cmu","year","month","day","consonants","vowelRatio","tokenCoverage","typeCoverage","dayOfYear","date","humidity"
"60",60,10406,299,4248,438,2038,2554,4866,944,7568,1463,6820,1345,2000,3,22,15387,0.676285175797751,0.901162790697674,0.919343814080656,82,"2000-03-22",0.0078999996
"61",61,10324,211,3893,325,1864,2848,5216,931,7729,1282,6916,1178,2000,3,23,15288,0.675300889586604,0.89481174796222,0.918876755070203,83,"2000-03-23",0.0082
"62",62,11760,177,3952,451,2145,3215,5895,1369,9485,1410,8157,1239,2000,3,24,17204,0.683561962334341,0.859989457037427,0.878723404255319,84,"2000-03-24",0.0077
"63",63,10473,314,3667,395,1752,2487,5509,1272,8835,1335,7288,1154,2000,3,27,15396,0.680241621200312,0.824900962082626,0.864419475655431,87,"2000-03-27",0.0074999998
"64",64,10861,280,3976,411,2000,2855,5691,1162,8529,1433,7405,1308,2000,3,28,16375,0.663267175572519,0.868214327588228,0.912770411723657,88,"2000-03-28",0.0074999998
"65",65,11637,258,4407,307,2284,3105,6025,1156,8710,1489,7771,1343,2000,3,29,17542,0.66337931820773,0.892192881745121,0.901947615849564,89,"2000-03-29",0.0074
"66",66,10487,204,4206,422,1878,2599,5369,994,8111,1328,7137,1206,2000,3,30,15672,0.669155181214906,0.879916163235113,0.908132530120482,90,"2000-03-30",0.0080000004
"67",67,10068,185,3913,266,1866,2705,5157,915,7574,1322,6570,1185,2000,3,31,15007,0.670886919437596,0.867441246369158,0.896369137670197,91,"2000-03-31",0.0076000001
"68",68,10854,182,3988,321,2259,2700,5638,1137,8684,1365,7300,1209,2000,4,3,16225,0.668967642526965,0.840626439428835,0.885714285714286,94,"2000-04-03",0.0088999998
"69",69,10636,234,4420,645,1960,2774,5157,999,8172,1219,7405,1110,2000,4,4,16189,0.656989313731546,0.906142927068037,0.910582444626743,95,"2000-04-04",0.0087000001
"70",70,11702,282,4387,307,2444,3036,6112,1091,8871,1687,7589,1495,2000,4,5,17659,0.66266493006399,0.855484161875775,0.886188500296384,96,"2000-04-05",0.0083999997
"71",71,10282,179,3386,331,1891,2648,5248,1195,8447,1314,7139,1132,2000,4,6,14878,0.691087511762334,0.845152125014798,0.861491628614916,97,"2000-04-06",0.0082999999
"72",72,11167,242,4168,488,2073,2895,5538,1171,8816,1494,7665,1310,2000,4,7,16575,0.673725490196078,0.869441923774955,0.876840696117805,98,"2000-04-07",0.0083999997
"73",73,7396,140,2759,376,1411,1947,3754,783,6451,1151,5302,1006,2000,4,10,11170,0.662130707251567,0.82188807936754,0.874022589052997,101,"2000-04-10",0.0083999997
"74",74,9843,182,3430,309,1837,2537,5015,1179,8076,1306,6890,1112,2000,4,11,14489,0.679342949824004,0.853145121347202,0.85145482388974,102,"2000-04-11",0.0089999996
"75",75,8891,158,3160,347,1613,2208,4530,1066,7972,1267,6258,1071,2000,4,12,13082,0.679636141262804,0.784997491219267,0.845303867403315,103,"2000-04-12",0.0091000004
"76",76,10231,242,4039,482,2049,2576,4956,897,7599,1275,6970,1182,2000,4,13,15241,0.671281411980841,0.917225950782998,0.927058823529412,104,"2000-04-13",0.0092000002
"77",77,10718,178,4131,391,1870,2780,5819,1072,8019,1442,6991,1295,2000,4,14,16241,0.659934733082938,0.871804464397057,0.898058252427185,105,"2000-04-14",0.0086000003
"78",78,11628,217,4024,426,2211,3173,5945,1398,9151,1321,8010,1156,2000,4,17,17394,0.668506381510866,0.875314173314392,0.875094625283876,108,"2000-04-17",0.0094999997
"79",79,9154,178,3082,360,1667,2504,4571,1164,7829,1155,6534,1008,2000,4,18,13526,0.67677066390655,0.834589347298506,0.872727272727273,109,"2000-04-18",0.0083999997
"80",80,10376,226,3925,392,1911,2797,5205,989,7749,1333,7081,1218,2000,4,19,15445,0.67180317254775,0.913795328429475,0.913728432108027,110,"2000-04-19",0.0078999996
"81",81,10160,172,3868,314,1866,2692,5350,924,7209,1331,6571,1225,2000,4,20,15186,0.669037271170815,0.911499514495769,0.920360631104433,111,"2000-04-20",0.0088999998
"82",82,10244,263,4132,423,1890,2631,5053,919,7604,1352,6812,1251,2000,4,24,15311,0.669061459081706,0.895844292477643,0.925295857988166,115,"2000-04-24",0.0081000002
"83",83,9160,161,3310,265,1775,2345,4744,911,7299,1350,6171,1189,2000,4,25,13511,0.677966101694915,0.845458281956432,0.880740740740741,116,"2000-04-25",0.0086000003
"84",84,12544,236,4291,402,2156,3382,6553,1417,9922,1384,8847,1249,2000,4,26,18437,0.680370993111678,0.89165490828462,0.902456647398844,117,"2000-04-26",0.0093
"85",85,10942,185,4032,474,2002,2805,5631,1140,8354,1300,7522,1186,2000,4,27,16269,0.672567459585715,0.900406990663155,0.912307692307692,118,"2000-04-27",0.0093
"86",86,10018,173,3634,372,1905,2648,5126,1084,8105,1403,6922,1259,2000,4,28,14942,0.670459108553072,0.85404071560765,0.89736279401283,119,"2000-04-28",0.0078999996
"87",87,9485,165,3545,369,1762,2514,4836,930,7436,1389,6317,1226,2000,5,1,14121,0.671694639189859,0.849515868746638,0.882649388048956,122,"2000-05-01",0.0088999998
"88",88,12360,343,4687,382,2449,3246,5997,1072,8949,1455,7902,1329,2000,5,2,18176,0.680017605633803,0.883003687562856,0.91340206185567,123,"2000-05-02",0.0088999998
"89",89,11925,314,4405,411,2352,3204,6189,1075,8866,1491,7868,1355,2000,5,3,17950,0.664345403899721,0.887435145499662,0.90878604963112,124,"2000-05-03",0.0087000001
"90",90,11240,209,4163,348,2002,2896,5989,1047,8110,1347,7264,1242,2000,5,4,16654,0.674912933829711,0.895684340320592,0.922048997772829,125,"2000-05-04",0.0088999998
"91",91,11227,218,4171,494,2201,2818,5454,1291,9748,1292,7957,1140,2000,5,5,16647,0.674415810656575,0.816270004103406,0.882352941176471,126,"2000-05-05",0.0086000003
"92",92,11386,372,4219,392,2145,2997,5776,1097,8452,1443,7608,1317,2000,5,8,16998,0.669843511001294,0.900141978230005,0.912681912681913,129,"2000-05-08",0.0094999997
"93",93,10518,197,3780,381,1915,2993,5452,900,7613,1335,6867,1227,2000,5,9,15618,0.673453707260853,0.902009720215421,0.919101123595506,130,"2000-05-09",0.0087000001
"94",94,10823,213,3705,374,2043,2903,5552,1130,9030,1513,7411,1280,2000,5,10,15920,0.679836683417085,0.820708748615725,0.846001321877065,131,"2000-05-10",0.0082
"95",95,11490,219,3945,465,2097,3043,5849,1325,9478,1425,8129,1233,2000,5,11,16943,0.67815617068996,0.857670394598016,0.865263157894737,132,"2000-05-11",0.0068999999
"96",96,9708,157,3597,319,1781,2652,5022,1037,8334,1314,6848,1123,2000,5,12,14565,0.666529351184346,0.821694264458843,0.854642313546423,133,"2000-05-12",0.0080000004
"97",97,10213,227,3620,366,1917,2666,5282,991,8103,1382,6995,1239,2000,5,15,15069,0.677749021169288,0.863260520794767,0.896526772793054,136,"2000-05-15",0.0093999999
"98",98,7324,142,2580,235,1442,1868,3706,905,5673,1100,4892,997,2000,5,16,10878,0.673285530428388,0.862330336682531,0.906363636363636,137,"2000-05-16",0.0082
"99",99,10066,270,3932,276,1875,2663,4870,994,7396,1440,6491,1302,2000,5,17,14880,0.676478494623656,0.877636560302866,0.904166666666667,138,"2000-05-17",0.0083999997
"100",100,11407,311,4380,507,2303,2997,5582,1122,8796,1510,7849,1375,2000,5,18,17202,0.663120567375887,0.892337426102774,0.910596026490066,139,"2000-05-18",0.0091000004
"101",101,11440,206,4279,561,2096,3037,5724,1049,8241,1312,7527,1204,2000,5,19,16952,0.674846625766871,0.913360029122679,0.917682926829268,140,"2000-05-19",0.0092000002
"102",102,11194,235,4004,432,1993,2923,5637,1422,9655,1494,8091,1316,2000,5,22,16646,0.672473867595819,0.83801139306059,0.880856760374833,143,"2000-05-22",0.0097000003
"103",103,11550,243,4439,451,2213,2982,5932,1133,8151,1392,7371,1271,2000,5,23,17393,0.664060254125223,0.904306220095694,0.913074712643678,144,"2000-05-23",0.0096000005
"104",104,8950,144,3313,286,1645,2383,4283,1049,7226,1340,6076,1146,2000,5,24,13103,0.683049683278638,0.84085247716579,0.855223880597015,145,"2000-05-24",0.0094999997
"105",105,11998,260,4579,437,2371,3245,5845,1181,8530,1336,7818,1226,2000,5,25,17918,0.669605982810582,0.916529894490035,0.917664670658683,146,"2000-05-25",0.0089999996
"106",106,9122,160,3523,305,1728,2389,4753,978,7081,1258,6216,1141,2000,5,26,13836,0.659294593813241,0.877842112695947,0.906995230524642,147,"2000-05-26",0.0088999998
"107",107,9679,195,3416,448,1928,2479,4664,1155,8675,1224,7076,1063,2000,5,29,14285,0.67756387819391,0.815677233429395,0.868464052287582,150,"2000-05-29",0.0093999999
"108",108,10147,170,3953,339,1909,2724,4824,1111,8316,1282,6996,1126,2000,5,30,15030,0.675116433799068,0.841269841269841,0.878315132605304,151,"2000-05-30",0.0088999998
"109",109,10935,372,4109,436,1851,2746,5777,1125,9016,1329,7415,1150,2000,5,31,16416,0.666118421052632,0.822426796805679,0.865312264860798,152,"2000-05-31",0.0088999998
"110",110,8050,179,3037,215,1457,2204,4112,938,6330,1155,5401,1024,2000,6,5,12142,0.662987975621809,0.853238546603476,0.886580086580087,157,"2000-06-05",0.0087000001
"111",111,8611,161,2969,339,1614,2349,4412,919,6973,1130,6068,1006,2000,6,6,12763,0.674684635273838,0.87021368134232,0.890265486725664,158,"2000-06-06",0.0093
"112",112,10041,194,3635,419,1729,2566,5495,964,7705,1339,6839,1189,2000,6,7,15002,0.669310758565525,0.88760545100584,0.887976101568335,159,"2000-06-07",0.0092000002
"113",113,8320,174,2776,254,1537,2218,4169,1026,6930,1155,5912,1037,2000,6,8,12154,0.684548296857002,0.853102453102453,0.897835497835498,160,"2000-06-08",0.0088999998
"114",114,11390,206,4002,368,2123,2782,6140,1302,9835,1358,8040,1176,2000,6,9,16923,0.673048513856881,0.817488561260803,0.865979381443299,161,"2000-06-09",0.0086000003
"115",115,11802,219,4178,483,2172,2968,6164,1410,9188,1333,8166,1225,2000,6,12,17594,0.670796862566784,0.888767958206356,0.918979744936234,164,"2000-06-12",0.0093
"116",116,11121,210,4191,297,2013,2962,5613,1121,8377,1484,7376,1373,2000,6,13,16407,0.677820442494057,0.880506147785603,0.925202156334232,165,"2000-06-13",0.0098000001
"117",117,10509,340,3973,344,1759,2789,5246,1058,7893,1333,7128,1203,2000,6,14,15509,0.677606551034883,0.903078677309008,0.902475618904726,166,"2000-06-14",0.0097000003
"118",118,11074,288,4175,374,2094,2883,5359,1133,8349,1400,7353,1273,2000,6,15,16306,0.679136514166565,0.880704275961193,0.909285714285714,167,"2000-06-15",0.0099999998
"119",119,10253,181,3851,404,1767,2721,5224,1123,8178,1414,7077,1263,2000,6,16,15271,0.671403313469976,0.865370506236244,0.893210749646393,168,"2000-06-16",0.0098999999
"120",120,11057,265,4383,433,2109,2719,5571,1083,8639,1487,7522,1318,2000,6,19,16563,0.66757229970416,0.870702627618937,0.886348352387357,171,"2000-06-19",0.0098999999
"121",121,9454,191,3316,340,1702,2361,4898,1190,8522,1306,6814,1112,2000,6,20,13998,0.67538219745678,0.799577563952124,0.85145482388974,172,"2000-06-20",0.0101
"122",122,9302,231,3543,436,1747,2439,4480,857,7136,1343,6278,1215,2000,6,21,13733,0.677346537537319,0.879764573991031,0.904690990320179,173,"2000-06-21",0.0103
"123",123,11255,207,4495,446,2016,2967,5708,975,8103,1450,7420,1358,2000,6,22,16814,0.669382657309385,0.915710230778724,0.936551724137931,174,"2000-06-22",0.0106
"124",124,8994,167,3398,438,1612,2516,4371,908,6643,1282,6024,1198,2000,6,23,13410,0.670693512304251,0.906819208189071,0.934477379095164,175,"2000-06-23",0.0107
"125",125,7631,181,3151,204,1563,2158,3251,706,5592,1117,4953,1017,2000,6,26,11214,0.680488674870697,0.885729613733906,0.91047448522829,178,"2000-06-26",0.0109
"126",126,10188,202,3757,301,1913,2515,5147,1093,8423,1416,6897,1222,2000,6,27,14928,0.682475884244373,0.818829395702244,0.862994350282486,179,"2000-06-27",0.0109
"127",127,11193,200,3909,323,2020,3017,5699,1107,8466,1442,7388,1289,2000,6,28,16275,0.687741935483871,0.872667139144815,0.893897364771151,180,"2000-06-28",0.011
"128",128,9143,228,2893,383,1671,2303,4574,1140,8336,1459,6265,1132,2000,6,29,13192,0.693071558520315,0.751559500959693,0.775873886223441,181,"2000-06-29",0.0108
"129",129,9758,163,3418,415,1740,2556,4887,1122,8147,1372,6781,1186,2000,6,30,14301,0.682329906999511,0.832330919356818,0.864431486880466,182,"2000-06-30",0.0108
"130",130,9211,171,3165,312,1682,2334,4629,1112,7757,1188,6488,1055,2000,7,5,13405,0.687131667288325,0.836405826994972,0.888047138047138,187,"2000-07-05",0.0098000001
"131",131,10596,271,4168,355,2028,2783,5055,1067,7674,1364,7009,1251,2000,7,6,15727,0.673745787499205,0.913343758144384,0.917155425219941,188,"2000-07-06",0.0099999998
"132",132,12845,244,4825,447,2864,3273,6410,1292,10088,1449,8509,1307,2000,7,7,19355,0.663652802893309,0.84347739888977,0.90200138026225,189,"2000-07-07",0.0097000003
"133",133,10778,179,3730,406,2188,2882,5602,1062,7735,1312,6829,1184,2000,7,10,16049,0.671568322013833,0.882870071105365,0.902439024390244,192,"2000-07-10",0.0094999997
"134",134,11292,260,3990,409,2321,2874,5828,1214,8616,1419,7634,1285,2000,7,11,16896,0.668323863636364,0.88602599814299,0.905567300916138,193,"2000-07-11",0.0098000001
"135",135,10080,215,3524,472,1891,2758,5184,1039,8139,1222,7224,1104,2000,7,12,15083,0.66830206192402,0.887578326575746,0.903436988543372,194,"2000-07-12",0.0093
"136",136,8717,148,2991,537,1528,2272,4433,1098,7731,1328,6293,1114,2000,7,13,13007,0.670177596678711,0.81399560212133,0.838855421686747,195,"2000-07-13",0.0093
"137",137,11784,258,4395,342,2252,3066,5909,1232,9184,1533,7949,1393,2000,7,14,17454,0.675146098315572,0.865527003484321,0.908675799086758,196,"2000-07-14",0.0101
"138",138,11417,218,3987,381,2295,2836,5790,1346,9546,1461,8086,1309,2000,7,17,16853,0.677446152020412,0.847056358684266,0.89596167008898,199,"2000-07-17",0.0099999998
"139",139,12064,189,4194,375,2107,3086,6133,1542,9999,1466,8427,1282,2000,7,18,17626,0.684443435833428,0.842784278427843,0.874488403819918,200,"2000-07-18",0.0103
"140",140,10709,245,4041,393,1964,2835,5466,1160,8488,1338,7388,1214,2000,7,19,16104,0.664990064580228,0.870405278039585,0.907324364723468,201,"2000-07-19",0.0104
"141",141,12240,371,4223,345,2351,3110,6251,1156,9508,1516,8097,1347,2000,7,20,17807,0.687370135340035,0.85159865376525,0.888522427440633,202,"2000-07-20",0.0101
"142",142,10004,178,3392,338,1718,2649,5248,1178,8099,1376,6811,1212,2000,7,21,14701,0.680497925311203,0.840968020743302,0.880813953488372,203,"2000-07-21",0.0102
"143",143,11445,218,4315,532,2081,3088,5859,999,8313,1379,7477,1265,2000,7,24,17092,0.669611514158671,0.899434620473957,0.917331399564902,206,"2000-07-24",0.0103
"144",144,10809,193,4086,319,2020,2814,5532,977,7720,1377,7020,1275,2000,7,25,15941,0.678062856784392,0.909326424870466,0.925925925925926,207,"2000-07-25",0.0101
"145",145,10377,194,3717,322,1878,2733,5162,1172,8064,1277,7030,1181,2000,7,26,15178,0.683686915272104,0.871775793650794,0.924823805794832,208,"2000-07-26",0.0102
"146",146,10422,186,3685,336,1953,2749,5144,1114,8004,1408,7040,1262,2000,7,27,15167,0.687149732972902,0.879560219890055,0.896306818181818,209,"2000-07-27",0.0101
"147",147,9678,158,3431,302,1913,2644,4602,1245,7531,1023,6664,917,2000,7,28,14295,0.677019937040923,0.884875846501129,0.896383186705767,210,"2000-07-28",0.0103
"148",148,11912,202,4403,400,2201,3156,6140,1057,8995,1378,7827,1271,2000,7,29,17559,0.678398542058204,0.870150083379655,0.922351233671988,211,"2000-07-29",0.0105
"149",149,10251,154,3681,377,1923,2698,5264,1051,7907,1282,6789,1167,2000,7,31,15148,0.676722999735939,0.85860629821677,0.910296411856474,213,"2000-07-31",0.0106
"150",150,11152,202,4077,342,1987,3175,5642,1086,8357,1475,7323,1350,2000,8,1,16511,0.675428502210647,0.876271389254517,0.915254237288136,214,"2000-08-01",0.0109
"151",151,7814,147,3000,267,1611,2167,3757,701,5681,1309,5072,1233,2000,8,1,11650,0.670729613733906,0.892800563281112,0.941940412528648,214,"2000-08-01",0.0109
"152",152,8231,158,2982,288,1460,2268,4277,785,6663,1248,5572,1120,2000,8,2,12218,0.673678179734817,0.836259942968633,0.897435897435897,215,"2000-08-02",0.0111
"153",153,8697,155,3083,413,1639,2369,4394,922,6941,1237,5976,1110,2000,8,2,12975,0.670289017341041,0.860971041636652,0.89733225545675,215,"2000-08-02",0.0111
"154",154,9648,155,3534,459,1833,2457,5008,998,7571,1335,6385,1205,2000,8,3,14444,0.667959014123511,0.843349623563598,0.902621722846442,216,"2000-08-03",0.0109
"155",155,11970,274,4308,626,2295,3213,5948,1193,9381,1495,8169,1371,2000,8,3,17857,0.670325362602901,0.87080268628078,0.917056856187291,216,"2000-08-03",0.0109
